Username,Rating,Comment
00ttt,N/A,胖胖
0Kage,9,5P
1 Family Meeple,8,Kickstarter: Collector's edition. EXPANSIONS: Scythe: The Rise of Fenris (2018)  EXTRAS: BGG printed silk Drawstring Bags for use with Scythe
1000rpm,8,"Rating based on one play. Seemed to only scratch the surface, at least I hope so. Seemed to be a big optimisation engine game. Unclear about balance, but we were all clueless."
12thManStanding,6,"I have had the opportunity to playtest this game in wave 3 and have played in 6 times in less than 2 weeks!  This game is fabulous, and definitely one of a kind.  The end game condition is similar to Euphoria where it ends on stars, but having the vp multiplier based on territories, stars and resources takes it up a notch. Not only do you have to be worried about the last star going out, but you also have to keep track of your popularity.  There is so much good to be said about this game, I enjoy it the most with 3 players and we were typically able to finish a game in under 75 minutes.  There are not very many games that pack so much punch in such a short time. Highly recommended!"
13inha,8.5,G
1905_CE3,8.5,love the look and theme of the game; love the top and bottom action mechanic Christmas 2018
1974vertigo2009,N/A,REGLAS PARA SOLITARIO
1arska,8,"Nostalgic game from the beginning of my board gaming hobby. It works somehow with enthusiasts, but it have some balance issues and might be unfair with novices. I still would play the vanilla, but I like to play more with Modular Board."
1hooman,N/A,With the Legendary Box!!
1ngu,6.5,Current rating with 2-3 players. Higher rating with higher player count.   Incl. Invaders from afar (added 2021-12-25) and modular board (added 2023-10-20)
1point21gigawatts,7,"This looks a lot more complicated than it actually is. I like the simple actions, but there is a lot of strategy you have to take into account. Great game.  UPDATE 12-31-19: The first time I played this game, I loved it. It was very intuitive to learn and find a strategy, whether it was the right one or not. Easy 10 rating for me.  A few years went by and a handful more plays and I began to have doubts about my feelings for this game, and I eventually lowered it to an 8.  Now, 3.5 years after my first impression and 13 plays total, I’m dropping it to a 7. Very few games in our collection have I fell out of love like this after numerous plays (usually my enjoyment grows with more plays). I admire much of the design and mechanics of this game, but this isn’t really my jam. It’s time to be honest."
1x0r,7,Location: MSK
2d20,8,Lives up to the hype and ratings!
2Dex,6,Not my cup of tea.
2dTones,6,"Very fluid and attractive game but after a few plays I don't have a burning desire to play it again. Although you get to make a good number of decisions for the playtime, I don't find many of them particularly interesting. Your overall strategy is mostly determined by the action board you get because the 2/3 coin bonuses are impossible to ignore. That being said, the end-game timing and scrambling for area control is very good."
2gunmojo,8,Really solid game.  Probably worth an 8 but with the hype it just didn't live up to the unreasonable expectations.  It did check the box of making us immediately want to replay it again.
2la_fr,9,Extension : - L'éveil de Fenris
35tango,9,"Scythe has long since had all of its hype come and go, and it still remains firm as a well loved game within the hobby.  I love the theme, the components, and just the overall style of game.  I feel like a lot of people expect Scythe to be a war game, and I think the game would be much worse if combat were more present.  I absolutely love the ""mutually assured destruction"" style that the game presents.  I adore this game.  While some of the expansions are a little disappointing, it is probably worth owning all of them."
383cherokee,10,"I have now played every faction. They all have a certain way to play each of them. That makes it fun to play with all the factions, you need to change your strategy for each of them. the ones that works for me are the Nordic and Rusviet factions. "
414448,7,"One play. Three players. Very involving and seemingly LOTS to explore.  Doesn't hurt that the game looks gorgeous and the map extension makes it wonderfully huge, and that the rules are rather simple and there's a great flow to the gameplay with short turns. It starts out simple and grows gradually more complex as the turns go by.  Edit: Grew from an 8 to a 9 after the second play. Wonderful!  Edit: started shrinking soon, and I got rid of it. What initially seemed so intriguing turned out to be fluff on top of a all too dry game."
