username,rating,comment,max_players,minplaytime,maxplaytime,age,ratings_avg,count_wanting,count_wishing,lang
causticforever,,Played prototype- will be an enjoyable way to share games in the Ark Nova universe. Tile laying. ,5,40,100,12,3.5,44,460,en
Corwin007,,"UPCOMING

Ark Nova lite?",5,40,100,12,3.5,44,460,en
IronTarkles,,New game from ark nova designer,5,40,100,12,3.5,44,460,en
MarkyX,,"I'm very interested in this one. I like the concept of Ark Nova but felt too long for the experience. If this shorter ""easier"" version is like San Juan is to Puerto Rico, I can easily see myself getting this one.",5,40,100,12,3.5,44,460,en
mikamikomi,1.0,3 artist yet still use stock photos? oh yeah,5,40,100,12,3.5,44,460,en
pauloantunes,,Simple Ark Nova.,5,40,100,12,3.5,44,460,en
Surya,,"Lighter version of Ark Nova. Does not sound like an improvement to me, but check when it's released.",5,40,100,12,3.5,44,460,en
Wrathberry,9.0,"rating after 1 play of a very late prototype.

It seems really great. Definitly different enough to be interesting for people who are already happy with ark nova.
Also approachable enough to play with people who like lighter games than Ark, but with still enough crunchy decicions to be interesting for the advanced gamer.",5,40,100,12,3.5,44,460,en
username,rating,comment,max_players,minplaytime,maxplaytime,age,ratings_avg,count_wanting,count_wishing,en
08thMS,,German,4,45,45,10,7.81125,1260,12230,en
1 Family Meeple,9.0,"The Quacks of Quedlinburg &
EXPANSION: The Herb Witches (2019)

GeekUp Bit Set: Quacks of Quedlinburg
GeekUp Bit Set: Quacks Expansion
GeekUp Box Set - Quacks of Quedlinburg

PROMO:
The Quacks of Quedlinburg: Wolfgang's Exchange Office (2018)
((from the Deutscher Spielepreis 2018 Goodie Box (2018)))",4,45,45,10,7.81125,1260,12230,en
1000rpm,8.0,"Rating based on one game. Really fun, push your luck bag builder.",4,45,45,10,7.81125,1260,12230,en
1234567,8.5,"The perfect ""perfect for everyone"" game. Highly recommend the Geekup Bits. And I have two sets of the game to make it playable up to 10 players.",4,45,45,10,7.81125,1260,12230,en
1arska,8.0,This became one of favourite 2-player games. This makes very fun push-your-luck game moments for evenings. I recommend to get Herb Witches expansion that makes game much more interesting.,4,45,45,10,7.81125,1260,12230,en
1Aspielerin,8.0,Megabox inklusive Erweiterungen,4,45,45,10,7.81125,1260,12230,de
1CHNUP,7.0,"This is a fun game, but the more I play it the more frustrated I get when I bust in the last round. I know that the flask is supposed to mediate this a little, but it falls a little in my ranking because of this.",4,45,45,10,7.81125,1260,12230,en
1Peter567,,"Unopened.
Organized; FoldedSpace.",4,45,45,10,7.81125,1260,12230,en
1point21gigawatts,4.0,"Push your luck game that you will either love or hate, with few opinions falling in between.",4,45,45,10,7.81125,1260,12230,en
210lindabo,,Own Big Box Version.,4,45,45,10,7.81125,1260,12230,en
2d20,8.0,"Enjoyable, push your luck, bag builder.I prefer Taverns but the Mrs. likes this better and its also a great lunch time game!",4,45,45,10,7.81125,1260,12230,en
2Face,9.0,"My dyslexic, ADHD daughter loves this game. It is rare to find a non-cooperative game that really engages her. I'm amazed at the number of options in just the base game with each ingredient having 4 different ways to play. I think it really helps that everyone plays at the same time. The combination of push your luck and engine building is a very different combination that works surprisingly well together.",4,45,45,10,7.81125,1260,12230,en
2goofy,7.5,"The Herb Witches
GeekUp Bit Set (BGG Store)",4,45,45,10,7.81125,1260,12230,en
4Corners,5.5,Own the [boardgame=269259]Herb Witches[/boardgame] and the [boardgame=316597]Alchemists[/boardgame] expansions and the [boardgame=264019]Wolfgang's Exchange Office[/boardgame] promo.,4,45,45,10,7.81125,1260,12230,en
5mokus,9.0,"It's a neat push your luck game. The catch up mechanism is solid, and the replayability is real. 
Willing to play even after a long heavy euro/amerigame.",4,45,45,10,7.81125,1260,12230,en
7Bros,,German version,4,45,45,10,7.81125,1260,12230,en
A1ain,7.3,"Preparación y Explicación: 0.8 / 1
Duración Ideal: 0.9 / 2
Temática y Arte: 0.8 / 1
Diseño y Componentes: 0.8 / 1
Mecánica y Jugabilidad: 1.6 / 2
Disfrute: 2.4 / 3
TOTAL: 7.3  

Tiempo de juego: 1 hora
Complejidad: Baja
Rejugabilidad: Media
Núm. Jugadores Ideal: 3 y 4

+ Micas y Guía
+ Inserto (cajas)",4,45,45,10,7.81125,1260,12230,es
A1v1to,9.0,"It is addictive game. Once we got this we played like 30 games in few days.
Like second expansion The Alchemist but Witches not so much.",4,45,45,10,7.81125,1260,12230,en
AAbouzeid,7.0,"A fun luck based game with some strategy. I enjoy it at all player counts but husband isn't much of a fan and will only play at 4 or 5 

We own the megabox. ",4,45,45,10,7.81125,1260,12230,en
aacosta5000,10.0,"I will ALWAYS enjoy playing this game, just enough decision space for a pure push your luck game, building up and drawing from the bag is so satisfying! Geekup bits raise the experience to a whole new level.",4,45,45,10,7.81125,1260,12230,en
aaj94,8.0,"We love this one. Since getting it for Z for Christmas we've played it 3 times. There is a direct dopamine rush every time you draw something out of the bag (something shared with Flip 7, another recent purchase). Enough variation that every play is different, but carefully-risked play calculations usually win the day. Great game for teaching Z probability. 

[COLOR=#FFFFFF][BGCOLOR=#66CC33]Extras:[/BGCOLOR][/COLOR]
[thing=285658][/thing]
Foamcore insert",4,45,45,10,7.81125,1260,12230,en
Aangman,10.0,"really fun
kids",4,45,45,10,7.81125,1260,12230,en
aardbeibanaan,5.0,Kwakzalvers van Kakelenburg,4,45,45,10,7.81125,1260,12230,nl
aaron0220,8.0,It gets better for larger group of people playing. But for 2 players game it's just decent.,4,45,45,10,7.81125,1260,12230,en
AaronDrakin,8.0,"It's a simple premise. Put stuff in bag, pull stuff out of bag. Then why is it so satisfying when you cry with triumph after pulling exactly what you need or weep with despair after pulling the one thing you didn't want? And for some reason it all becomes so communal, everyone cheering and moaning together with each victory or defeat, regardless of who's winning or drawing. Just a fun if suspenseful way to spend an hour.",4,45,45,10,7.81125,1260,12230,en
Aaron_Dangerman,6.0,"The complexity is light, which makes Quacks more fun. The blind draw mechanic is part of the fun, but it also makes luck an overwhelming aspect of the game. Little to no strategy plays a role in Quacks.",4,45,45,10,7.81125,1260,12230,en
aawhite1,7.0,W/ The Alchemists and The Herb Witches Expansions,4,45,45,10,7.81125,1260,12230,en
AbacoBilbao,,"8436017227611
[Abaco][]
[Estante][G2]
[M000152]",4,45,45,10,7.81125,1260,12230,es
Abanon,8.0,Push your luck perfected.,4,45,45,10,7.81125,1260,12230,fr
abberline,7.0,Un très bon familiale qui se joue dès 6 ans. Nécessite de supporter les aléas d'effets pauvres des ingrédients (tirage minable possible pour les effets) et aussi ceux de votre pioche de bag.. en famille tout cela se supporte.,4,45,45,10,7.81125,1260,12230,fr
Abdul,5.0,"Takes way too long to play for a push your luck game. There is a little engine building element that gives it a little more depth than other games in this category, but not enough to keep my interest.",4,45,45,10,7.81125,1260,12230,en
Aberdeen1977,7.0,2018-05-27 (120),4,45,45,10,7.81125,1260,12230,en
abernath,9.0,Waiting for those glossy bits to come back into stock!,4,45,45,10,7.81125,1260,12230,en
Abex17,10.0,Expansions: Herb Witches and alchemists,4,45,45,10,7.81125,1260,12230,en
abhiroo,10.0,"I can't say enough good things about Quacks - while I played Taverns of Tiefenthal first by the same designer and thoroughly enjoyed the straightforward deck-building and tile improvement mechanics of it, the bag-building and push-your-luck elements of Quacks are simultaneously more approachable to casual gamers and exciting to play even for more experienced gamers.

The interesting interactive aspects of certain ingredient types, the game-bending 'fortune-teller' cards that change the game every round in small but telling ways, and the immense replayability provided by the different ingredient sets, all add to a perfect game that I can't wait to introduce to every new group I play with. An immediate classic.",4,45,45,10,7.81125,1260,12230,en
abirylo,,"2-4 Players
45 min",4,45,45,10,7.81125,1260,12230,en
abontrager,6.5,Fun but a little lighter than expected even knowing it was a light bag draw game going into it. Will happily play with my family but other than that it just isn't my bag.,4,45,45,10,7.81125,1260,12230,en
Abrakebapra,,PoS (02-23),4,45,45,10,7.81125,1260,12230,en
abweins,8.0,A little luck-based but overall fun.,4,45,45,10,7.81125,1260,12230,en
AbyssinianSon,6.5,I really wanted to appreciate this game more because I found the concept so much fun and it seems like a good welcoming game for new players. But the decision space come off too narrow for my likes and felt like too much of the results came down to pure luck.,4,45,45,10,7.81125,1260,12230,en
Acama,7.0,"Really fun push-your-luck game.  Plays quickly, which is a must where a run of bad luck can ruin everything.  The flipside is when you have a run of good luck, it feels great.  Just one more!",4,45,45,10,7.81125,1260,12230,en
AchimerBC,,Inv25 ,4,45,45,10,7.81125,1260,12230,en
Achire,8.0,"Light, fun, press-your-luck game. I love the bag-building element, which is reminiscent of games like Orleans in a more family-weight package. The books switch up the game greatly and I love the fortune cards. I wish there were even more fortune cards. Going to look into the expansion after I have a few more games under my belt.",4,45,45,10,7.81125,1260,12230,en
Acholt22,8.0,"I have a love/hate relationship with this game. I love the beginning of it, but hate the end of the game. 

I have upgraded the components with the BGG geek bits. The geek bits make me want to play the game more. ",4,45,45,10,7.81125,1260,12230,en
achronite,10.0,"Excellent easy family game, my favourite at the moment.  I would recommend protecting the pieces with coin caps though as they do wear down.",4,45,45,10,7.81125,1260,12230,en
AckItsMe,,Location: A4,4,45,45,10,7.81125,1260,12230,en
acooper1004,7.0,"fun, simple game, not a mechanic we use a lot, so will get some plays",4,45,45,10,7.81125,1260,12230,en
acorax,,2-4 player,4,45,45,10,7.81125,1260,12230,en
ACoupleofMeeples,9.0,9 but Jean wanted to give it a 10 because it’s the best game ever. Beautiful AND if friends also own the game you can play over video chat.,4,45,45,10,7.81125,1260,12230,en
AcroAndGames,,Top of my list to buy!,4,45,45,10,7.81125,1260,12230,en
ActsKnight238,9.0,Best at 3-4,4,45,45,10,7.81125,1260,12230,da
adaaaa,,"4!, 3$
4!, 5$, 3$ with: ""The Quacks of Quedlinburg: The Herb Witches""",4,45,45,10,7.81125,1260,12230,en
adadoo,9.0,IH,4,45,45,10,7.81125,1260,12230,en
adamgospod,8.0,W koszulkach - kupiona w czerwcu 2019 r. ,4,45,45,10,7.81125,1260,12230,pl
adamphipps11,10.0,"2-4 Players
Best: 4
**In Julia's Top 10**",4,45,45,10,7.81125,1260,12230,en
adamredwoods,5.0,"1 play / 3 players (1 child)

LIKE: Fun to push your luck and fun to buy more ingredients.

DISLIKE: Very random. The bags were very thin and shuffling the tokens in the bags was difficult. Stiffer bags would help in this case. Too easy to cheat when drawing.

OVERALL: Too random for me, to the point I felt there were no worthwhile turns. Wasn't enjoyable, although we didn't play with all the correct rules (like the rat tail). I probably shouldn't be so harsh, but I felt the scoring was too lopsided and perhaps a different scoring mechanism to allow some hidden scoring for the end (the ticket cards in Ticket To Ride, for example).

Similar games: Medici, Port Royal, Circus Flocati",4,45,45,10,7.81125,1260,12230,en
adamsalem,,Box 2,4,45,45,10,7.81125,1260,12230,en
adamscott,6.0,"I liked it more than I thought I would, but drawing blindly from a bag for nine rounds outstays its welcome.",4,45,45,10,7.81125,1260,12230,en
adamshum,7.0,"Fun ""push-your-luck"" game with lots of replayability. Feels a lot like Dominion/deckbuilders.",4,45,45,10,7.81125,1260,12230,en
adamsinger109,8.0,really fun but it seems to me that some tokens are just much better than others. I'm pretty quick to spot this which usually ends up with me winning this game. That being said it's still a lot of fun and excitement drawing tokens and pushing your luck,4,45,45,10,7.81125,1260,12230,en
adamw,8.5,Very enjoyable - and for surprising reasons. It's entirely a solo affair (nearly so) and all about daring push-your-luck. Lovely production and fun theme certainly helps matters - plus it is very easy to teach. Getting blasted isn't so harmful and the catch up system ensures games are still reasonably close. So all in all - quite good indeed!,4,45,45,10,7.81125,1260,12230,en
adam_0,9.0,"Broken token, MDG sleeves, GeekBits upgrade, 3D printed dividers for ingredient trays",4,45,45,10,7.81125,1260,12230,nl
adanryd,8.5,The most unique game I have played. I’ll pull this out for a change of pace with people who aren’t opposed to some luck in their games.,4,45,45,10,7.81125,1260,12230,en
ADarkKnightOfTheSoul,8.0,11/25/2020,4,45,45,10,7.81125,1260,12230,en
Addboilingwater,,"Family, Bag & Pool Building, Light Strategy (4)
Fill Your Cauldron With Ingredients (Points), Trying To Not Let The Cauldron Explode. Get New Ingredients For More Combos [Megabox Looks Good]
[@Hide][C&CBrum][@SnD]",4,45,45,10,7.81125,1260,12230,en
Addicted2EuroGames,,"2 to 5 players.
45 to 75 minutes.
Competitive, push your luck.

Includes The Quacks of Quedlinburg: Alchemists. One of the most ingenious, approachable and straight-up entertaining games to come from the contemporary designs of late. Really impressed with this and glad it's part of a new school of thinking in game experiences.",4,45,45,10,7.81125,1260,12230,en
Addiction2k,8.0,"Another one my family really, really loves.",4,45,45,10,7.81125,1260,12230,en
adeegan,10.0,"Sleeved
Ingredient Storage Crates from PLAtoPerfection on Etsy
Ingredient token holders from BoardToBits on Etsy",4,45,45,10,7.81125,1260,12230,en
adel9591,6.0,"Really good for a push your luck game, but still, it's a push your luck game. There are some nice decisions but if you draw poorly you will lose.",4,45,45,10,7.81125,1260,12230,en
adelfaidah,8.4,"A really fun push your luck, bag builder type of game that can be played with non-gamers just as well as it can be played with dedicated boardgamers.",4,45,45,10,7.81125,1260,12230,en
AdelinDumitru,10.0,Excellent at what it does :) ,4,45,45,10,7.81125,1260,12230,en
Adepr,8.0,Nice simple fun,4,45,45,10,7.81125,1260,12230,en
